name,source,target,source language,target language,comment
TEXT_FIELD_WITH_AUTOCOMPLETE,Text Field with autocomplete,Text Field with autocomplete,en,de,
NEUTRAL,Neutral,Neutral,en,de,
STATE,State,State,en,de,
ADD_MULTIPLE_USERS,Add Multiple Users,Add Multiple Users,en,de,
SALES_DASHBOARD,Sales Dashboard,Vertriebs-Dashboard,en,de,
DEPARTMENT,Department,Department,en,de,
CANCEL_ORDER,Cancel Order,Bestellung stornieren,en,de,
VIEW_AS,View As,View As,en,de,
USERS,Users,Users,en,de,
APPLICATION_APPEARANCE_SETTINGS_SAVED,Application Appearance Settings Saved.,Application Appearance Settings Saved.,en,de,
IMAGE_UPDATED_ON,Image Updated On,Image Updated On,en,de,
REQUIRED_BY,Required By,Benötigt bis,en,de,
RATING,Rating,Rating,en,de,
HOME,Home,Startseite,en,de,
POSTAL_CODE,Postal Code,Postal Code,en,de,
TEXT_ITEMS,Text Items,Text Items,en,de,
THE_REQUIRED_DATE_CANNOT_BE_BEFORE_THE_ORDER_DATE,The required date cannot be before the order date.,The required date cannot be before the order date.,en,de,
ACCESS_CONTROL_CONFIGURATION,Access Control Configuration,Access Control Configuration,en,de,
COL002,Col002,Col002,en,de,
EMPLOYEE_NAME,Employee Name,Employee Name,en,de,
USER_COUNTS_REPORT,User Counts Report,User Counts Report,en,de,
SKU_1,SKU,SKU,en,de,
COLOR,Color,Color,en,de,
LOYALTY_TIER,Loyalty Tier,Loyalty Tier,en,de,
COLUMN_2,Column 2,Column 2,en,de,
MESSAGE,Message,Message,en,de,
MANAGE_FEEDBACK,Manage Feedback,Manage Feedback,en,de,
PAYMENT,Payment,Zahlung,en,de,
SALES_REP,Sales Rep,Vertriebsmitarbeiter,en,de,
ITEM_TYPES,Item Types,Elementtypen,en,de,
TIMESTAMP,Timestamp,Timestamp,en,de,
LINE_NUMBER,Line Number,Line Number,en,de,
LOG_MESSAGES,Log Messages,Log Messages,en,de,
A_DISCOUNT_ABOVE_10_NEEDS_A_MANAGERS_APPROVAL,A discount above 10% needs a manager's approval.,A discount above 10% needs a manager's approval.,en,de,
ORBITCONTACT,"""ORBIT_CONTACT""","""ORBIT_CONTACT""",en,de,
IR_SEARCH,IR Search,IR Search,en,de,
YOU_ARE_NOT_ALLOWED_TO_APPROVE_ORDERS,You are not allowed to approve orders.,You are not allowed to approve orders.,en,de,
SUPPORTED_FORMATS_CSV_TXT,"Supported formats CSV, TXT","Supported formats CSV, TXT",en,de,
ERROR,Error,Error,en,de,
ADD_USER,Add User,Add User,en,de,
ACCESS_CONTROL,Access Control,Access Control,en,de,
COL004,Col004,Col004,en,de,
1000,"1,000","1,000",en,de,
PAGE_NAVIGATION,Page Navigation,Seitennavigation,en,de,
DOWNLOAD,Download,Herunterladen,en,de,
TEXT_ABOUT_THIS_APPLICATION_CAN_BE_PLACED_HERE,Text about this application can be placed here.,Text about this application can be placed here.,en,de,
SALES_BY_REGION,Sales by Region,Sales by Region,en,de,
COUNTRY_CODE,Country Code,Country Code,en,de,
PAGE_PERFORMANCE,Page Performance,Page Performance,en,de,
ORDER_TOTAL,Order Total,Bestellsumme,en,de,
TIER,Tier,Stufe,en,de,
LOCATIONS,Locations,Standorte,en,de,
UPLOAD_A_FILE,Upload a File,Upload a File,en,de,
ERROR_ROWS,Error Rows,Error Rows,en,de,
ABOUT,About,Info,en,de,
HELP_TEXT_15,"<p>When Access Control is enabled, Administrators have the ability to restrict access to certain application features for authenticated users. This application supports the following 3 roles: Reader, Contributor, and Administrator.<p>
<ul>
  <li><strong>Readers</strong> have read-only access to all information and can also view reports.</li>
  <li><strong>Contributors</strong> can create,edit and delete information and view reports.</li>
  <li><strong>Administrators</strong>,in addition to Contributors capability,can also perform configuration of the application.</li>
</ul>","<p>When Access Control is enabled, Administrators have the ability to restrict access to certain application features for authenticated users. This application supports the following 3 roles: Reader, Contributor, and Administrator.<p>
<ul>
  <li><strong>Readers</strong> have read-only access to all information and can also view reports.</li>
  <li><strong>Contributors</strong> can create,edit and delete information and view reports.</li>
  <li><strong>Administrators</strong>,in addition to Contributors capability,can also perform configuration of the application.</li>
</ul>",en,de,
REASON,Reason,Reason,en,de,
SELECT_ONE,Select One,Select One,en,de,
UPDATED_BY,Updated By,Geändert von,en,de,
SERIES_1,Series 1,Series 1,en,de,
WEIGHTED_PERFORMANCE,Weighted Performance,Weighted Performance,en,de,
DIV_IDACTIVEFACETSDIV,"<div id=""active_facets""></div>","<div id=""active_facets""></div>",en,de,
LINE,Line,Position,en,de,
HELP_TEXT,"<p>To find data enter a search term into the search dialog, or click on the column headings to limit the records returned.</p>

<p>You can perform numerous functions by clicking the <strong>Actions</strong> button. This includes selecting the columns that are displayed / hidden and their display sequence, plus numerous data and format functions.  You can also define additional views of the data using the chart, group by, and pivot options.</p>

<p>If you want to save your customizations select report, or click download to unload the data. Enter you email address and time frame under subscription to be sent the data on a regular basis.<p>

<p>For additional information click Help at the bottom of the Actions menu.</p> 

<p>Click the <strong>Reset</strong> button to reset the interactive report back to the default settings.</p>","<p>To find data enter a search term into the search dialog, or click on the column headings to limit the records returned.</p>

<p>You can perform numerous functions by clicking the <strong>Actions</strong> button. This includes selecting the columns that are displayed / hidden and their display sequence, plus numerous data and format functions.  You can also define additional views of the data using the chart, group by, and pivot options.</p>

<p>If you want to save your customizations select report, or click download to unload the data. Enter you email address and time frame under subscription to be sent the data on a regular basis.<p>

<p>For additional information click Help at the bottom of the Actions menu.</p> 

<p>Click the <strong>Reset</strong> button to reset the interactive report back to the default settings.</p>",en,de,
TYPE,Type,Typ,en,de,
IMPORT_PRICE_LIST,Import Price List,Preisliste importieren,en,de,
CHECKBOX_GROUP,Checkbox Group,Checkbox Group,en,de,
DISPLAY_ONLY,Display Only,Display Only,en,de,
INFO_WINDOW_HTML_EXPR,"<strong>%STORE_NAME</strong><br>
%CITY, %STATE<br>
Opened %OPENED_ON<br>
%FLOOR_AREA_SQFT sq ft","<strong>%STORE_NAME</strong><br>
%CITY, %STATE<br>
Opened %OPENED_ON<br>
%FLOOR_AREA_SQFT sq ft",en,de,
COLLAPSE_ALL,Collapse All,Collapse All,en,de,
TEXT_FIELD,Text Field,Text Field,en,de,
SIGN_OUT,Sign Out,Abmelden,en,de,
ITEMS,Items,Positionen,en,de,
HELP_TEXT_2,"<p>The administration page allows application owners (Administrators) to configure the application and maintain common data used across the application.
By selecting one of the available settings, administrators can potentially change how the application is displayed and/or features available to the end users.</p>
<p>Access to this page should be limited to Administrators only.</p>","<p>The administration page allows application owners (Administrators) to configure the application and maintain common data used across the application.
By selecting one of the available settings, administrators can potentially change how the application is displayed and/or features available to the end users.</p>
<p>Access to this page should be limited to Administrators only.</p>",en,de,
APPLICATION_APPEARANCE,Application Appearance,Application Appearance,en,de,
COMBOBOX,Combobox,Combobox,en,de,
NO_ACTIVITIES_FOUND,No activities found,No activities found,en,de,
NUM_ROWS,Num Rows,Num Rows,en,de,
C,c,c,en,de,
CREATED_BY,Created By,Angelegt von,en,de,
ORDER_SEARCH,Order Search,Bestellsuche,en,de,
PRODUCT_CATEGORIES,Product Categories,Produktkategorien,en,de,
FEEDBACK_DELETED,Feedback Deleted,Feedback Deleted,en,de,
MONTHLY_SALES,Monthly Sales,Monthly Sales,en,de,
FLAGSHIP,Flagship,Flagship,en,de,
APPLY_CHANGES,Apply Changes,Änderungen speichern,en,de,
FIND_A_CITY,Find a City,Find a City,en,de,
ADD_USERS,Add Users,Add Users,en,de,
TOP_10_PRODUCTS,Top 10 Products,Top 10 Products,en,de,
TIMEZONE,Timezone,Timezone,en,de,
CONFIGURATION_OPTIONS_UPDATED,Configuration Options updated. ,Configuration Options updated. ,en,de,
FIRST_NAME,First Name,First Name,en,de,
PNO_VALID_NEW_USERS_FOUNDP,<p>No valid new users found</p>,<p>No valid new users found</p>,en,de,
NEGATIVE,Negative,Negative,en,de,
UNIT_PRICE,Unit Price,Stückpreis,en,de,
REMEMBER_ME,Remember me,Remember me,en,de,
RICH_AND_DISPLAY_ITEMS,Rich and Display Items,Rich and Display Items,en,de,
WIZARD_CONTAINER,Wizard Container,Wizard Container,en,de,
FEEDBACK_SUBMITTED,Feedback Submitted,Feedback Submitted,en,de,
OPEN,Open,Open,en,de,
BUTTONS,Buttons,Buttons,en,de,
COL006,Col006,Col006,en,de,
PRODUCTS_BOUGHT,Products Bought,Products Bought,en,de,
STATE_PROVINCE,State Province,State Province,en,de,
PLUG_SOURCE,"<p>Welcome to <strong>Orbit Sales</strong>, the sales and order management application of %COMPANY_NAME.</p>
<p><strong>%G_PENDING_APPROVALS</strong> orders are awaiting approval.</p>
<p>Use the navigation menu to find customers and products. Administrators can manage users and settings under <em>Administration</em>.</p>
<p>Questions about an order? Write to <a href=""mailto:%G_SUPPORT_EMAIL"">%G_SUPPORT_EMAIL</a>.</p>","<p>Willkommen bei <strong>Orbit Sales</strong>, der Vertriebs- und Bestellanwendung von %COMPANY_NAME.</p>
<p><strong>%G_PENDING_APPROVALS</strong> Bestellungen warten auf Genehmigung.</p>
<p>Über das Navigationsmenü finden Sie Kunden und Produkte. Administratoren verwalten Benutzer und Einstellungen unter <em>Verwaltung</em>.</p>
<p>Fragen zu einer Bestellung? Schreiben Sie an <a href=""mailto:%G_SUPPORT_EMAIL"">%G_SUPPORT_EMAIL</a>.</p>",en,de,
CITIES,Cities,Cities,en,de,
SUCCESSFUL_ROWS,Successful Rows,Successful Rows,en,de,
SEARCH_DIALOG,Search Dialog,Search Dialog,en,de,
